District,Taluka,Region,Equipment,Rs/hr,Rs/day,images
Ahmednagar,Pathardi,Khandesh,hoe,55,258,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Washim,Manora,Vidharbha,tractor,230,1840,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Raigad,Mahad,Konkan,tractor,280,2090,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nagpur,Narkhed,Vidharbha,hoe,38,304,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Raigad,Mangaon,Konkan,pickaxe,16,56,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Kolhapur,Kagal,WM,sprayer,69,208,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Osmanabad,Bhoom,Marathwada,tractor trolley,310,2580,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Chandrapur,Sindhewahi,Vidharbha,tractor,240,1920,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Satara,Phaltan,WM,sprayer,67.24,205.94,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Amravati,Chikhaldara,Vidharbha,Sprayer,47,375,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Yavatmal,Maregaon,Vidharbha,plough,102,765,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Buldhana,Malkapur,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Hingoli,Hingoli,Marathwada,tractor,470,3500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Buldhana,Shegaon,Vidharbha,pickaxe,26,190,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Gondia,Goregaon,Vidharbha,tractor,262,2096,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Pune,Shirur,WM,hoe,55,260,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Latur,Latur,Marathwada,tractor,370,2700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Chandrapur,Bramhpuri,Vidharbha,tractor,230,1840,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Amravati,Warud,Vidharbha,Sprayer,50,400,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Amravati,Chandur,Vidharbha,Plough,135,1010,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sangli,Shirala,WM,tractor,440,3425,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Raigad,Mahad,Konkan,hoe,28,155,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Chandrapur,Sindhewahi,Vidharbha,sickel,13,104,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Akola,Patur,Vidharbha,Sprayer,49,390,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Hingoli,Basmath,Marathwada,tractor trolley,295,2450,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Parbhani,Purna,Marathwada,tractor trolley,295,2450,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Buldhana,Chikhli,Vidharbha,plough,125,960,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sindhudurg,Sawantwadi,Konkan,sprayer,42,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Sawantwadi,Konkan,tractor,310,2300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Yavatmal,Yavatmal,Vidharbha,sprayer,33,264,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Akola,Akot,Vidharbha,Tractor,308,2280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Beed,Parali,Marathwada,sprayer,45,145,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Solapur,Karmala,WM,tractor trolley,292,2200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Kolhapur,Shahuwadi,WM,sprayer,70,213,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Gondia,Goregaon,Vidharbha,hoe,28,224,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Satara,Satara,WM,sickel,28.54,102.03,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Sangli,Miraj,WM,plough,187.38,889,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Satara,Wai,WM,sickel,28.73,102.73,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Washim,Malegaon,Vidharbha,tractor trolley,150,1200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Chandrapur,Rajura,Vidharbha,tractor trolley,125,1000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Yavatmal,Dharwa,Vidharbha,hoe,30,220,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nanded,Naigaon,Marathwada,sprayer,46,145,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nandurbar,Akrani,Khandesh,pickaxe,14,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalgaon,Jalgaon,Khandesh,hoe,32,155,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nashik,Yeola,Marathwada,pickaxe,27,94,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Pune,Junnar,WM,pickaxe,42,155,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Nashik,Yeola,Marathwada,plough,135,630,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sambhajinagar,Kannad,Marathwada,pickaxe,26,92,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sangli,Tasgaon,WM,sickel,28.25,102,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nashik,Yeola,Marathwada,tractor trolley,219,1625,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Pune,Maval,WM,sprayer,71,214,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nanded,Loha,Marathwada,hoe,35,190,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Amravati,Achalpur,Vidharbha,Plough,130,975,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Nashik,Malegaon,Marathwada,hoe,35,194,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nandurbar,Nawapur,Khandesh,hoe,20,80,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Pune,Baramati,WM,hoe,55,260,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Chandrapur,Korpana,Vidharbha,pickaxe,16,128,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Pune,Ambegoan,WM,tractor,495,5600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Mumbai Suburban,Mumbai Suburban,Konkan,sickel,35.2,128,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Beed,Patoda,Marathwada,sprayer,48,150,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Satara,Wai,WM,pickaxe,36.98,133.25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Solapur,Mangalvedha,WM,tractor trolley,288,2170,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Solapur,Barshi,WM,sprayer,65,195,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Wardha,Hinganghat,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nagpur,Ramtek,Vidharbha,tractor trolley,220,1760,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Hingoli,Sengaon,Marathwada,tractor,460,3400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Kolhapur,Kagal,WM,plough,194,926,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Jalna,Bhokardhan,Marathwada,sprayer,42,135,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Bhandara,Bhandara,Vidharbha,sprayer,39,312,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Jalna,Badnapur,Marathwada,sprayer,40,128,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Kudal,Konkan,tractor trolley,190,1410,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Buldhana,Buldhana,Vidharbha,sprayer,72,500,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Mangaon,Konkan,tractor trolley,125,940,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nagpur,Hingna,Vidharbha,tractor,360,2880,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Pune,Ambegoan,WM,pickaxe,44,157,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Akola,Akola,Vidharbha,Hoe,36,290,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Gadchiroli,Chamorshi,Vidharbha,pickaxe,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Pune,Haveli,WM,sickel,32,107,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Ahmednagar,Sangamner,Khandesh,tractor trolley,330,2630,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Solapur,Karmala,WM,pickaxe,35.5,128,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Ratnagiri,Khed,Konkan,plough,131,600,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Ahmednagar,Sangamner,Khandesh,plough,215,1080,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Jalna,Partur,Marathwada,tractor trolley,165,1240,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Buldhana,Shegaon,Vidharbha,tractor trolley,185,1350,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Jalna,Badnapur,Marathwada,sickel,18,63,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Hingoli,Hingoli,Marathwada,sprayer,70,214,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Alibaug,Konkan,pickaxe,25,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Amravati,Achalpur,Vidharbha,Hoe,32,260,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Satara,Satara,WM,tractor trolley,290.26,2217.57,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Dhule,Sindhkheda,Khandesh,tractor,247,1820,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nandurbar,Nawapur,Khandesh,pickaxe,14,60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Latur,Ausa,Marathwada,tractor trolley,220,1600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nanded,Kandhar,Marathwada,hoe,34,185,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Dhule,Sindhkheda,Khandesh,hoe,28,133,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sangli,Tasgaon,WM,sprayer,66.42,204.5,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Solapur,Pandharpur,WM,sprayer,66,200,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nanded,Dharmabad,Marathwada,pickaxe,21,75,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Palghar,Palghar,Khandesh,sprayer,,,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Pune,Khed,WM,sprayer,70,212,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Akola,Telhara,Vidharbha,Pickaxe,30,240,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Gadchiroli,Dhanora,Vidharbha,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nanded,Dharmabad,Marathwada,plough,110,500,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Ratnagiri,Chiplun,Konkan,sickel,18,66,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Kolhapur,Panhala,WM,sprayer,71,218,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sindhudurg,Kankavli,Konkan,plough,118,550,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Hingoli,Basmath,Marathwada,hoe,52,250,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Satara,Phaltan,WM,sickel,28.91,103.41,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nagpur,Katol,Vidharbha,tractor trolley,190,1520,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Dhule,Shirpur,Khandesh,hoe,32,154,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Yavatmal,Dharwa,Vidharbha,sprayer,35,280,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Wardha,Wardha,Vidharbha,pickaxe,26,180,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sambhajinagar,Paithan,Marathwada,tractor,344,2565,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Sangli,Miraj,WM,sickel,28.55,102.75,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Hingoli,Aundha,Marathwada,pickaxe,41,153,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Ahmednagar,Kopargaon,Khandesh,pickaxe,44,157,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalgaon,Bhusawal,Khandesh,hoe,29,155,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sambhajinagar,Kannad,Marathwada,tractor trolley,213,1575,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Satara,Phaltan,WM,pickaxe,37.27,133.87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Yavatmal,Umarkhed,Vidharbha,sickel,12,100,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nanded,Nanded,Marathwada,hoe,37,200,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalna,Bhokardhan,Marathwada,tractor,330,2400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gondia,Gondia,Vidharbha,pickaxe,22,176,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Washim,Malegaon,Vidharbha,plough,110,880,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Buldhana,Malkapur,Vidharbha,sprayer,72,540,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Latur,Chakur,Marathwada,plough,115,520,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sambhajinagar,Sillod,Marathwada,pickaxe,27,95,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Nashik,Igatpuri,Marathwada,hoe,35,194,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sambhajinagar,Sambhajinagar,Marathwada,plough,142,660,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Bhandara,Lakhandur,Vidharbha,hoe,30,240,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sangli,Shirala,WM,hoe,49.3,256.71,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Buldhana,Buldhana,Vidharbha,hoe,52,360,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalgaon,Jalgaon,Khandesh,tractor trolley,160,1550,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nandurbar,Akrani,Khandesh,tractor,175,840,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nashik,Trimbak,Marathwada,pickaxe,27,94,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Osmanabad,Paranda,Marathwada,hoe,52,250,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Washim,Manora,Vidharbha,sickel,12,96,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Gondia,Goregaon,Vidharbha,sickel,14,112,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nagpur,Ramtek,Vidharbha,sickel,24,192,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Chandrapur,Chandrapur,Vidharbha,sprayer,35,280,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Latur,Latur,Marathwada,sickel,24,88,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
